Date,Open,High,Low,Close,Volume,Adjusted Close
2015-02-17,460.18,464.41,457.87,463.42,0.0,463.42
2015-02-16,465.14,465.37,462.0,462.82,0.0,462.82
2015-02-13,462.43,466.06,461.86,464.9,0.0,464.9
2015-02-12,457.71,463.79,457.71,460.43,0.0,460.43
2015-02-11,455.65,459.06,454.83,458.27,0.0,458.27
2015-02-10,451.5,456.03,449.54,453.8,0.0,453.8
2015-02-09,451.1,451.64,447.24,450.96,0.0,450.96
2015-02-06,455.06,456.16,452.96,454.69,0.0,454.69
2015-02-05,450.86,455.42,450.14,455.3,0.0,455.3
2015-02-04,456.42,456.84,450.79,454.88,0.0,454.88
2015-02-03,453.24,457.66,452.78,455.82,0.0,455.82
2015-02-02,450.6,451.91,446.44,450.76,0.0,450.76
2015-01-30,454.0,454.65,448.9,450.39,0.0,450.39
2015-01-29,447.83,453.16,447.83,452.47,0.0,452.47
2015-01-28,457.03,457.57,450.25,452.3,0.0,452.3
2015-01-27,458.34,459.06,451.49,454.46,0.0,454.46
2015-01-26,452.62,459.44,452.62,459.14,0.0,459.14
2015-01-23,451.02,457.1,450.28,454.56,0.0,454.56
2015-01-22,442.04,449.03,440.41,447.77,0.0,447.77
2015-01-21,439.99,441.09,435.84,441.09,0.0,441.09
2015-01-20,435.97,439.39,435.6,437.92,0.0,437.92
2015-01-19,433.84,436.2,432.03,435.31,0.0,435.31
2015-01-16,423.37,433.62,422.94,432.98,0.0,432.98
2015-01-15,422.6,426.62,411.46,425.32,0.0,425.32
2015-01-14,418.44,425.3,416.87,418.33,0.0,418.33
2015-01-13,415.76,424.71,414.82,423.79,0.0,423.79
2015-01-12,417.05,421.5,413.63,418.41,0.0,418.41
2015-01-09,422.41,424.23,412.76,415.59,0.0,415.59
2015-01-08,416.6,424.14,415.44,423.07,0.0,423.07
2015-01-07,411.01,413.96,408.6,411.21,0.0,411.21
2015-01-06,411.67,414.62,406.3,408.43,0.0,408.43
2015-01-05,420.06,424.58,410.49,410.94,0.0,410.94
2015-01-02,425.89,428.09,420.35,422.28,0.0,422.28
2014-12-31,422.84,424.7,422.27,424.47,0.0,424.47
2014-12-30,425.13,425.13,421.56,421.59,0.0,421.59
